2026-08-08 21:23:30 | INFO  | p.LoginPage     | Entering Email.
2026-08-08 21:23:30 | INFO  | p.LoginPage     | Entering Password.
2026-08-08 21:23:31 | INFO  | p.LoginPage     | Clicking Login button.
2026-08-08 21:23:31 | INFO  | p.LoginPage     | Login completed successfully.
2026-08-08 21:23:34 | INFO  | t.ContentTest   | STEP 2 : Navigate to Content
2026-08-08 21:23:34 | INFO  | p.ContentPage   | Clicking Content menu
2026-08-08 21:23:34 | INFO  | p.ContentPage   | Content page opened
2026-08-08 21:23:40 | INFO  | t.ContentTest   | STEP 3 : Add New Level
2026-08-08 21:23:40 | INFO  | p.ContentPage   | Opening Subject : Health
2026-08-08 21:23:40 | INFO  | p.ContentPage   | Clicking Add New Level
2026-08-08 21:23:41 | INFO  | p.ContentPage   | Entering Level Number : 1
2026-08-08 21:23:41 | INFO  | p.ContentPage   | Entering Grade : First Grade
2026-08-08 21:23:41 | INFO  | p.ContentPage   | Entering Description
2026-08-08 21:23:41 | INFO  | p.ContentPage   | Clicking Add New Level
2026-08-08 21:23:41 | INFO  | p.ContentPage   | Level added successfully.
2026-08-08 21:23:44 | INFO  | t.ContentTest   | TEST RESULT : PASSED
